step	action_loss	dynamics_loss	grad_norm	lr	loss
117	0.00342	0.0768	0.0964	9.88e-6	0.0802
118	0.00567	0.0813	0.109	9.87e-6	0.0869
119	0.00338	0.0623	0.125	9.87e-6	0.0656
120	0.00449	0.0548	0.14	9.87e-6	0.0593
121	0.0119	0.104	0.169	9.86e-6	0.116
122	0.00349	0.0852	0.122	9.86e-6	0.0887
123	0.00498	0.0911	0.112	9.86e-6	0.0961
124	0.00386	0.0611	0.1	9.85e-6	0.065
125	0.00759	0.0882	0.172	9.85e-6	0.0958
126	0.012	0.0941	0.161	9.84e-6	0.106
127	0.00792	0.0762	0.109	9.84e-6	0.0841
128	0.0051	0.123	0.114	9.83e-6	0.128
129	0.00788	0.0968	0.145	9.83e-6	0.105
130	0.00808	0.0572	0.114	9.83e-6	0.0653
131	0.00574	0.0659	0.121	9.82e-6	0.0717
132	0.00907	0.0821	0.0972	9.82e-6	0.0912
133	0.00713	0.0575	0.177	9.81e-6	0.0646
134	0.0036	0.0937	0.152	9.81e-6	0.0973
135	0.00696	0.0743	0.157	9.8e-6	0.0812
136	0.00963	0.0693	0.251	9.8e-6	0.0789
137	0.00702	0.0769	0.121	9.79e-6	0.0839
138	0.00405	0.0541	0.134	9.79e-6	0.0581
139	0.0017	0.0521	0.0839	9.79e-6	0.0538
140	0.00421	0.0915	0.11	9.78e-6	0.0957
141	0.00913	0.0931	0.162	9.78e-6	0.102
142	0.00209	0.0926	0.0938	9.77e-6	0.0947
143	0.00314	0.0799	0.108	9.77e-6	0.0831
144	0.0041	0.0551	0.148	9.76e-6	0.0592
145	0.00209	0.0817	0.0905	9.76e-6	0.0838
146	0.0128	0.0968	0.148	9.75e-6	0.11
147	0.00281	0.0708	0.106	9.74e-6	0.0736
148	0.00988	0.113	0.198	9.74e-6	0.123
149	0.00135	0.0377	0.079	9.73e-6	0.0391
150	0.00366	0.0551	0.131	9.73e-6	0.0587
151	0.00455	0.0646	0.0769	9.72e-6	0.0691
152	0.0411	0.0643	0.313	9.72e-6	0.105
153	0.00913	0.0856	0.141	9.71e-6	0.0947
154	0.00433	0.0535	0.114	9.71e-6	0.0578
155	0.00274	0.05	0.0993	9.7e-6	0.0527
156	0.00634	0.0664	0.109	9.7e-6	0.0728
157	0.00563	0.0617	0.106	9.69e-6	0.0673
158	0.00256	0.0707	0.104	9.68e-6	0.0733
159	0.0157	0.0803	0.199	9.68e-6	0.0959
160	0.0137	0.0592	0.192	9.67e-6	0.0729
161	0.00888	0.0589	0.191	9.67e-6	0.0678
162	0.0103	0.0583	0.125	9.66e-6	0.0687
163	0.00216	0.0895	0.0896	9.65e-6	0.0917
164	0.00429	0.0607	0.112	9.65e-6	0.0649
165	0.00854	0.128	0.153	9.64e-6	0.137
166	0.00556	0.096	0.176	9.64e-6	0.102
167	0.00686	0.0925	0.131	9.63e-6	0.0993
168	0.00471	0.0787	0.116	9.62e-6	0.0834
169	0.0138	0.0591	0.239	9.62e-6	0.073
170	0.00531	0.0947	0.134	9.61e-6	0.1
171	0.0062	0.0637	0.111	9.61e-6	0.0699
172	0.00267	0.115	0.0965	9.6e-6	0.118
173	0.0115	0.0859	0.139	9.59e-6	0.0974
174	0.00211	0.0848	0.0873	9.59e-6	0.0869
175	0.00256	0.0622	0.111	9.58e-6	0.0648
176	0.0153	0.0993	0.153	9.57e-6	0.115
177	0.00523	0.0462	0.114	9.57e-6	0.0514
178	0.0397	0.0544	0.31	9.56e-6	0.0941
179	0.0125	0.0656	0.14	9.55e-6	0.0781
180	0.00377	0.0992	0.115	9.55e-6	0.103
181	0.00831	0.0892	0.146	9.54e-6	0.0975
182	0.00824	0.0794	0.127	9.53e-6	0.0876
183	0.00681	0.105	0.198	9.52e-6	0.112
184	0.00289	0.074	0.0897	9.52e-6	0.0769
185	0.00865	0.0668	0.161	9.51e-6	0.0754
186	0.0101	0.0626	0.153	9.5e-6	0.0727
187	0.00931	0.0841	0.135	9.5e-6	0.0935
188	0.0125	0.0995	0.198	9.49e-6	0.112
189	0.00339	0.0919	0.132	9.48e-6	0.0953
190	0.00996	0.0786	0.223	9.47e-6	0.0886
191	0.00468	0.0781	0.14	9.47e-6	0.0828
192	0.00399	0.0728	0.0892	9.46e-6	0.0768
193	0.00994	0.0676	0.122	9.45e-6	0.0775
194	0.00419	0.062	0.13	9.44e-6	0.0662
195	0.00735	0.0652	0.134	9.44e-6	0.0725
196	0.00889	0.0919	0.171	9.43e-6	0.101
197	0.00737	0.0679	0.134	9.42e-6	0.0753
198	0.00471	0.0562	0.125	9.41e-6	0.0609
199	0.00602	0.0609	0.178	9.41e-6	0.0669
200	0.00173	0.0606	0.0956	9.4e-6	0.0624
201	0.00397	0.0641	0.105	9.39e-6	0.0681
202	0.00877	0.113	0.151	9.38e-6	0.122
203	0.0116	0.0805	0.128	9.37e-6	0.0921
204	0.00374	0.0358	0.116	9.37e-6	0.0395
205	0.0071	0.0422	0.131	9.36e-6	0.0493
206	0.00259	0.0736	0.1	9.35e-6	0.0761
207	0.00148	0.101	0.0767	9.34e-6	0.103
208	0.00492	0.0752	0.132	9.33e-6	0.0801
209	0.00222	0.0548	0.0953	9.32e-6	0.0571
210	0.00676	0.0875	0.13	9.32e-6	0.0943
211	0.00789	0.0639	0.146	9.31e-6	0.0718
212	0.00464	0.0798	0.133	9.3e-6	0.0845
213	0.00212	0.0813	0.0905	9.29e-6	0.0834
214	0.00713	0.0727	0.13	9.28e-6	0.0799
215	0.0053	0.0785	0.123	9.27e-6	0.0838
216	0.0052	0.0572	0.124	9.27e-6	0.0624
217	0.00282	0.0763	0.0964	9.26e-6	0.0791
218	0.00378	0.0754	0.173	9.25e-6	0.0792
219	0.00895	0.102	0.207	9.24e-6	0.111
220	0.00294	0.0485	0.1	9.23e-6	0.0515
221	0.00937	0.0767	0.138	9.22e-6	0.086
222	0.00859	0.119	0.125	9.21e-6	0.128
223	0.00348	0.052	0.107	9.2e-6	0.0555
224	0.00298	0.0797	0.116	9.19e-6	0.0827
225	0.0232	0.0837	0.244	9.19e-6	0.107
226	0.0037	0.0757	0.101	9.18e-6	0.0794
227	0.00967	0.0686	0.213	9.17e-6	0.0783
228	0.00316	0.0896	0.101	9.16e-6	0.0928
229	0.00636	0.0935	0.133	9.15e-6	0.0998
230	0.0132	0.0907	0.368	9.14e-6	0.104
231	0.00924	0.0424	0.108	9.13e-6	0.0517
232	0.00527	0.0651	0.0992	9.12e-6	0.0704
233	0.0116	0.0562	0.124	9.11e-6	0.0678
234	0.00483	0.0885	0.135	9.1e-6	0.0933
235	0.00883	0.0914	0.146	9.09e-6	0.1
236	0.0134	0.0762	0.112	9.08e-6	0.0897
237	0.00264	0.0679	0.0988	9.07e-6	0.0705
238	0.00358	0.1	0.108	9.06e-6	0.104
239	0.00285	0.052	0.1	9.05e-6	0.0548
240	0.0174	0.0854	0.436	9.05e-6	0.103
241	0.00481	0.0885	0.113	9.04e-6	0.0933
242	0.00274	0.0951	0.135	9.03e-6	0.0979
243	0.00274	0.085	0.0978	9.02e-6	0.0878
244	0.00458	0.0622	0.106	9.01e-6	0.0668
245	0.00351	0.0602	0.114	9e-6	0.0637
246	0.00435	0.0549	0.139	8.99e-6	0.0592
247	0.003	0.0854	0.0868	8.98e-6	0.0884
248	0.00457	0.0953	0.104	8.97e-6	0.0999
249	0.0104	0.0701	0.148	8.96e-6	0.0805
250	0.00595	0.0913	0.173	8.95e-6	0.0972
251	0.00286	0.0804	0.0936	8.94e-6	0.0833
252	0.0148	0.0738	0.333	8.93e-6	0.0886
253	0.00438	0.0981	0.133	8.92e-6	0.102
254	0.00476	0.0581	0.112	8.9e-6	0.0628
255	0.00239	0.0759	0.105	8.89e-6	0.0783
256	0.00234	0.0597	0.1	8.88e-6	0.0621
257	0.00697	0.109	0.125	8.87e-6	0.116
258	0.0094	0.0858	0.0996	8.86e-6	0.0952
259	0.0114	0.1	0.178	8.85e-6	0.111
260	0.00509	0.0579	0.263	8.84e-6	0.063
261	0.00134	0.11	0.0908	8.83e-6	0.111
262	0.00763	0.0617	0.131	8.82e-6	0.0693
263	0.0019	0.0723	0.096	8.81e-6	0.0742
264	0.0106	0.0697	0.111	8.8e-6	0.0803
265	0.00427	0.0793	0.169	8.79e-6	0.0836
266	0.00729	0.0742	0.143	8.78e-6	0.0815
267	0.00657	0.0602	0.137	8.77e-6	0.0668
268	0.00928	0.0242	0.179	8.76e-6	0.0335
269	0.00752	0.0785	0.109	8.75e-6	0.086
270	0.00773	0.101	0.132	8.73e-6	0.108
271	0.00388	0.0726	0.103	8.72e-6	0.0765
272	0.00211	0.0636	0.0817	8.71e-6	0.0657
273	0.01	0.0734	0.159	8.7e-6	0.0835
274	0.0113	0.0512	0.169	8.69e-6	0.0625
275	0.00551	0.0756	0.0991	8.68e-6	0.0811
276	0.00661	0.0474	0.127	8.67e-6	0.054
277	0.00333	0.108	0.119	8.66e-6	0.111
278	0.00487	0.0641	0.148	8.64e-6	0.0689
279	0.00176	0.0794	0.0856	8.63e-6	0.0812
280	0.00315	0.0486	0.0926	8.62e-6	0.0517
281	0.00422	0.0445	0.12	8.61e-6	0.0487
282	0.0198	0.0761	0.257	8.6e-6	0.0959
283	0.00361	0.0694	0.0987	8.59e-6	0.073
284	0.0132	0.0488	0.147	8.58e-6	0.062
285	0.00744	0.059	0.187	8.56e-6	0.0664
286	0.00164	0.0441	0.0785	8.55e-6	0.0457
287	0.00366	0.111	0.129	8.54e-6	0.115
288	0.00811	0.0881	0.153	8.53e-6	0.0962
289	0.00335	0.06	0.0978	8.52e-6	0.0634
290	0.00558	0.0647	0.129	8.51e-6	0.0702
291	0.00434	0.0462	0.0928	8.49e-6	0.0506
292	0.0112	0.0763	0.186	8.48e-6	0.0876
293	0.00907	0.105	0.177	8.47e-6	0.114
294	0.0199	0.11	0.369	8.46e-6	0.13
295	0.00208	0.0803	0.0956	8.45e-6	0.0824
296	0.00414	0.0645	0.116	8.43e-6	0.0686
297	0.00471	0.0434	0.107	8.42e-6	0.0481
298	0.013	0.0751	0.17	8.41e-6	0.0881
299	0.00565	0.0778	0.225	8.4e-6	0.0835
